clienteId,nombre,apellido,email,telefono,fechaNacimiento,activo,nivelRiesgo,etiquetasRiesgo,ingresoMensual
CL-0001,Citlali,Villalpando,santiago71@example.com,+29(6)108102695,1989-05-16,true,bajo,alto_volumen,88187.79
CL-0002,Elvia,Toledo,nramos@example.org,1-543-423-1944x,1994-02-10,true,medio,viajero_frecuente|nuevo_usuario|empresa,42470.21
CL-0003,Arturo,Marroquín,uordonez@example.org,1-846-476-3108,1995-06-05,true,medio,viajero_frecuente|alto_volumen|nuevo_usuario,43245.31
CL-0004,Perla,Gamboa,gustavo10@example.org,+19(7)846338180,1954-09-04,true,medio,historial_fraude|viajero_frecuente,20006.48
CL-0005,Victoria,Fernández,almanzaguillermo@example.net,707-974-8930,1985-12-11,true,bajo,viajero_frecuente,31943.66
CL-0006,Abril,Lugo,lsalazar@example.net,1-004-975-1641x,1964-02-28,true,bajo,,71929.27
CL-0007,Rubén,Montez,villanuevaeduardo@example.org,01738285843,1986-10-24,true,medio,cliente_vip,33301.11
CL-0008,Ricardo,Menéndez,barriosgerman@example.com,(607)257-5862x8,1965-07-25,true,bajo,nuevo_usuario,83023.32
CL-0009,Concepción,Becerra,paolaborrego@example.org,1-038-563-4903,1987-03-10,true,medio,viajero_frecuente,40562.43
CL-0010,David,Aguirre,eduardoaguirre@example.net,(451)715-3474x6,1952-01-23,true,bajo,viajero_frecuente,65416.46
CL-0011,Aldo,Vanegas,rodrigo31@example.com,(913)067-6393x0,1991-06-27,true,medio,,70723.59
CL-0012,Citlali,Zapata,hbonilla@example.org,1-420-672-0458x,1963-05-23,true,bajo,cliente_vip|historial_fraude|nuevo_usuario,38056.18
CL-0013,Augusto,Nazario,cervantesmarisol@example.org,(855)093-3804,1951-04-08,true,alto,,44645.56
CL-0014,Dalia,Caldera,pportillo@example.com,578-112-8973x66,1970-02-20,true,alto,empresa|historial_fraude|viajero_frecuente,20673.33
CL-0015,Florencia,Reyes,jaramillomarisol@example.org,04626157137,1984-04-11,true,alto,nuevo_usuario|historial_fraude,85921.1
CL-0016,Juan,Cervantes,marcela67@example.net,615.717.9087,1987-07-13,true,medio,empresa|alto_volumen,79661.43
CL-0017,Marcos,Pacheco,isepulveda@example.org,251.387.1033,1990-06-17,true,bajo,alto_volumen|cliente_vip,38224.5
CL-0018,Gonzalo,Aguirre,miramonteszoe@example.com,797-095-4204,1961-12-13,true,medio,viajero_frecuente|empresa|historial_fraude,97491.12
CL-0019,Rosario,Luevano,juanrosario@example.net,097-792-0991x69,1984-05-28,true,bajo,empresa,74138.2
CL-0020,María Cristina,Galván,pradosara@example.com,(766)466-9497x5,1999-12-21,true,bajo,,34620.53
CL-0021,Olga,Zamora,elisa33@example.net,054-664-8412x47,1954-01-31,false,bajo,cliente_vip|empresa,51445.12
CL-0022,Guillermina,Moya,diego67@example.com,(320)145-6135,2000-03-14,false,bajo,empresa|nuevo_usuario|alto_volumen,19578.48
CL-0023,Sonia,Luna,badillobianca@example.org,1-781-641-7139,1958-01-16,true,bajo,nuevo_usuario|historial_fraude|alto_volumen,53981.53
CL-0024,Federico,Cazares,kbarraza@example.com,484.685.6013,1978-02-08,false,bajo,,14531.41
CL-0025,Úrsula,Toro,velascocatalina@example.com,908.820.2387x42,1988-08-02,true,alto,empresa|nuevo_usuario,87939.77
CL-0026,Paulina,Porras,ibustos@example.org,395-573-8853x27,1989-02-04,true,medio,cliente_vip|nuevo_usuario,32923.21
CL-0027,Jerónimo,Nieves,noemipantoja@example.net,(555)190-5595x8,1989-06-22,true,critico,cliente_vip,16564.84
CL-0028,Adela,Armenta,socorroserna@example.com,1-065-670-0294x,1992-03-10,true,bajo,,71184.36
CL-0029,Sara,Vanegas,wnino@example.net,08864210990,2000-04-26,true,bajo,viajero_frecuente|historial_fraude|nuevo_usuario,50312.88
CL-0030,Augusto,Ozuna,marianapalacios@example.com,(737)056-5032x8,1981-05-13,true,medio,viajero_frecuente,87080.96
CL-0031,Elias,de la Torre,micaela74@example.com,(295)569-3174x0,1995-08-23,true,bajo,empresa,57198.24
CL-0032,Aida,Serrato,lucascarranza@example.org,+46(5)838032665,1950-05-16,true,medio,cliente_vip,57937.21
CL-0033,Reynaldo,Adame,yanezhoracio@example.net,1-402-688-0631x,1972-02-01,true,bajo,,68337.03
CL-0034,Natalia,Navarrete,aracelitamez@example.org,1-665-773-0148,1975-07-04,true,alto,,68702.66
CL-0035,Emiliano,Luevano,centenoluis@example.org,881-578-6557x79,1979-01-10,true,bajo,,9944.2
CL-0036,Sofía,Correa,zaguilera@example.org,1-244-848-8028,1979-07-22,true,medio,historial_fraude|nuevo_usuario|viajero_frecuente,66304.93
CL-0037,María Cristina,Carrasco,lugomagdalena@example.net,04893819440,1961-08-08,true,critico,empresa|cliente_vip,6770.86
CL-0038,Rodolfo,Matos,tijerinaabigail@example.net,1-707-425-3855,1999-02-02,true,medio,viajero_frecuente|empresa,39376.31
CL-0039,Rubén,Villa,julio-cesarsaucedo@example.com,288-403-6917,1985-10-15,true,bajo,alto_volumen,85529.89
CL-0040,Emiliano,Carrero,taniasegura@example.net,726-937-8592x44,1976-10-13,true,bajo,nuevo_usuario|alto_volumen|viajero_frecuente,44371.13
CL-0041,Jerónimo,Gálvez,micaelaanaya@example.com,+50(6)533867258,1961-10-12,true,medio,empresa|cliente_vip,11418.93
CL-0042,Luisa,Salinas,deliarosas@example.org,083.691.1813x69,1989-12-18,true,bajo,historial_fraude,48691.09
CL-0043,Silvia,Varela,monicavillegas@example.net,+97(1)432296228,1966-09-20,true,bajo,viajero_frecuente|historial_fraude|nuevo_usuario,43749.68
CL-0044,Arcelia,Soliz,lsaavedra@example.net,226-580-0170x06,1963-11-30,true,bajo,historial_fraude|alto_volumen,53673.31
CL-0045,Gustavo,Bahena,noelia59@example.net,1-173-469-3687,1976-01-30,true,medio,,9759.95
CL-0046,Cornelio,Gracia,raulmagana@example.net,+45(4)881207497,1976-12-13,true,medio,alto_volumen|empresa,53263.02
CL-0047,Violeta,Soliz,jose-luis64@example.net,1-854-179-9271x,1999-06-07,true,bajo,,6419.3
CL-0048,Carolina,Sarabia,vergaragonzalo@example.com,1-618-786-5418,2000-12-31,true,bajo,historial_fraude|viajero_frecuente|empresa,36834.85
CL-0049,Jacinto,Santacruz,aochoa@example.org,(040)524-9066x5,1960-03-22,true,bajo,,47362.14
CL-0050,Silvano,Linares,flaviovaldes@example.org,02434416153,1976-09-14,true,medio,viajero_frecuente|empresa|historial_fraude,72961.28
CL-0051,Carlota,Matías,tgil@example.com,+78(5)229275539,1966-10-17,true,medio,cliente_vip|nuevo_usuario|empresa,9665.61
CL-0052,Darío,Quiñónez,taniabriseno@example.org,001-708-9834x25,1988-12-01,true,critico,empresa|viajero_frecuente,2573.01
CL-0053,Leonardo,Ornelas,gpineda@example.org,1-681-337-1053x,1992-10-21,true,bajo,empresa,41698.98
CL-0054,Norma,Corral,serranomarisol@example.org,+42(0)726007355,1985-06-09,true,medio,nuevo_usuario|cliente_vip|empresa,10588.24
CL-0055,Leonel,Treviño,leticiacorral@example.org,018.349.1017,1951-06-05,true,bajo,viajero_frecuente,20445.67
CL-0056,César,Cotto,zayascitlali@example.org,1-193-872-1057,1989-02-04,true,bajo,empresa|alto_volumen|cliente_vip,86102.56
CL-0057,Hugo,Roybal,luis-miguel10@example.net,+81(2)849604051,1976-12-30,true,bajo,,16520.23
CL-0058,Juan Carlos,Roque,dsanchez@example.org,09852565160,1964-11-25,true,bajo,,74400.56
CL-0059,Daniela,Candelaria,smares@example.org,761-211-1484,2002-07-03,true,bajo,historial_fraude|viajero_frecuente|empresa,30893.48
CL-0060,René,Zaragoza,gerardo47@example.com,05347556361,1959-03-19,true,medio,viajero_frecuente|nuevo_usuario|empresa,71883.1
CL-0061,Horacio,Leal,jgranados@example.org,541-888-0483x95,1953-04-27,true,critico,empresa|cliente_vip|nuevo_usuario,49637.89
