cuentaId,numeroCuenta,tipoCuenta,saldo,fechaApertura,moneda,activa,limiteCredito,numeroPrestamos,bancosAsociados
CU-0001,11907386,corriente,170344.42,2011-04-02,MXN,true,20064.93,5,Banistmo
CU-0002,61007346,corriente,473384.06,2022-09-05,GTQ,true,19433.91,5,Davivienda|BAC|Industrial
CU-0003,19312412,corriente,300630.86,2012-11-28,GTQ,true,96417.65,0,Banrural
CU-0004,65019090,ahorro,309102.41,2007-08-15,USD,true,3843.0,0,Industrial|BAC|Davivienda
CU-0005,10459152,ahorro,406759.89,2005-05-14,EUR,true,3519.52,4,BAC
CU-0006,97088867,credito,468574.07,2017-04-26,GTQ,true,44967.12,5,Davivienda
CU-0007,92222921,monetaria,172245.7,2020-05-29,GTQ,true,45422.32,2,G&T Continental
CU-0008,48502168,corriente,481501.36,2017-06-04,MXN,true,36807.81,0,HSBC|Banrural
CU-0009,15711620,credito,204890.91,2010-03-07,MXN,true,62649.99,1,Banistmo|Industrial
CU-0010,71818207,credito,221668.39,2017-06-04,GTQ,true,66537.34,1,Industrial|Banrural|Banistmo
CU-0011,35630898,corriente,473976.5,2016-04-20,MXN,true,76397.66,3,HSBC|Banrural
CU-0012,62724691,corriente,234851.34,2020-04-15,GTQ,true,77457.77,4,BAC|Banrural
CU-0013,39149156,monetaria,275622.38,2007-01-11,USD,true,43178.38,3,Industrial
CU-0014,61804106,corriente,136296.65,2006-12-28,USD,true,80083.68,1,Citibank|Industrial
CU-0015,42977091,corriente,381191.45,2021-10-30,GTQ,true,61232.49,5,BAC|Citibank|Davivienda
CU-0016,18772342,ahorro,10243.77,2002-05-14,GTQ,true,93156.26,2,G&T Continental
CU-0017,38589967,monetaria,420259.6,2016-04-12,USD,true,90451.51,3,Citibank|Davivienda
CU-0018,33517361,monetaria,151271.86,2007-03-03,MXN,true,41518.59,4,Banistmo|Banrural|HSBC
CU-0019,84131297,credito,349781.24,2012-08-12,USD,true,97612.47,5,Davivienda
CU-0020,23028371,ahorro,67367.17,2017-02-01,GTQ,true,76713.81,4,Citibank|Industrial|HSBC
CU-0021,86760494,corriente,223390.38,2000-11-21,MXN,true,56678.3,2,Citibank
CU-0022,19246258,corriente,67039.17,2013-06-17,USD,true,11097.18,5,Citibank
